Date,Positive Return,Actual Value,Return
2018-10-17,0.0,1.0,-0.004321366110527358
2018-10-18,0.0,1.0,-0.02337356169754945
2018-10-19,1.0,1.0,0.01523003990863381
2018-10-22,1.0,1.0,0.006110055869808839
2018-10-23,1.0,1.0,0.009426702418267485
2018-10-24,0.0,1.0,-0.03430161871414161
2018-10-25,1.0,1.0,0.02189784180603227
2018-10-26,0.0,1.0,-0.015923566657894184
2018-10-29,0.0,1.0,-0.01877021498525933
2018-10-30,1.0,1.0,0.004994334391062338
2018-10-31,1.0,1.0,0.026066561083192274
2018-11-01,1.0,1.0,0.015352282742306931
2018-11-02,0.0,1.0,-0.06633068766174954
2018-11-05,0.0,1.0,-0.028388276031117377
2018-11-06,1.0,1.0,0.010814068030024382
2018-11-07,1.0,1.0,0.030328274751950213
2018-11-08,0.0,1.0,-0.006953996076685121
2018-11-09,0.0,1.0,-0.019281520296150382
2018-11-12,0.0,1.0,-0.050374152639829466
2018-11-13,0.0,1.0,-0.009991257453266678
2018-11-14,0.0,1.0,-0.028247374480918963
2018-11-15,1.0,1.0,0.024678803720759257
2018-11-16,1.0,0.0,0.011075675652406636
2018-11-19,0.0,0.0,-0.03963208917131367
2018-11-20,0.0,0.0,-0.04777792345664034
2018-11-21,0.0,0.0,-0.0011300539782478358
2018-11-23,0.0,0.0,-0.02539883201814963
2018-11-26,1.0,0.0,0.013523721178542836
2018-11-27,0.0,0.0,-0.002176094574784626
2018-11-28,1.0,0.0,0.038452690180298836
2018-11-29,0.0,0.0,-0.0076821010881690235
2018-11-30,0.0,0.0,-0.005402401582936811
2018-12-03,1.0,0.0,0.0349423531704709
2018-12-04,0.0,0.0,-0.043988770482789374
2018-12-06,0.0,0.0,-0.011149477579278531
2018-12-07,0.0,0.0,-0.035657026579741465
2018-12-10,1.0,0.0,0.006587931474645314
2018-12-11,0.0,0.0,-0.005719346614357357
2018-12-12,1.0,0.0,0.002787174328968023
2018-12-13,1.0,0.0,0.010940217492328541
2018-12-14,0.0,0.0,-0.03199766784645952
2018-12-17,0.0,0.0,-0.009306220243493368
2018-12-18,1.0,0.0,0.012992587843676516
2018-12-19,0.0,0.0,-0.031191712567684608
2018-12-20,0.0,0.0,-0.025234617278859672
2018-12-21,0.0,0.0,-0.0388956579244758
2018-12-24,0.0,0.0,-0.025874039720229502
2018-12-26,1.0,0.0,0.07042155015286332
2018-12-27,0.0,0.0,-0.006489815386805042
2018-12-28,1.0,0.0,0.0005123396361303988
2018-12-31,1.0,0.0,0.00966529992267562
2019-01-02,1.0,0.0,0.0011410718239708295
2019-01-03,0.0,0.0,-0.09960737025028876
